swc_name,length_um,start_x,start_y,start_z,start_structure,start_structure_name,start_hemisphere,end_x,end_y,end_z,end_structure,end_structure_name,end_hemisphere,start_region_hemi,end_region_hemi
AA0001.swc,111945.66,2966.8877,2546.0754,4625.2505,MOs5,"Secondary motor area, layer 5",Left,5388.5713,6469.099,9317.188,root,root,Right,MOs5_Left,root_Right
AA0011.swc,207335.67,6829.3438,2320.2852,2938.0967,ccb,"corpus callosum, body",Left,6509.0513,7432.469,11731.675,outside_brain,outside_brain,Right,ccb_Left,outside_brain_Right
AA0012.swc,141154.9,7073.428,2796.918,3210.9368,CA3,Field CA3,Left,5385.108,8892.069,13488.063,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0025.swc,66499.734,7883.849,1741.3098,9263.4795,VISal5,"Anterolateral visual area, layer 5",Right,5778.414,6229.203,7067.8594,LPO,Lateral preoptic area,Right,VISal5_Right,LPO_Right
AA0066.swc,135525.25,5288.405,1294.9464,5823.0845,ACAd1,"Anterior cingulate area, dorsal part, layer 1",Right,5727.9062,6331.5254,9375.498,PIR,Piriform area,Right,ACAd1_Right,PIR_Right
AA0087.swc,100954.59,5228.8003,5844.9683,6758.7134,HY,Hypothalamus,Right,5141.7915,2828.6965,10463.446,root,root,Right,HY_Right,root_Right
AA0114.swc,171391.39,7532.245,3080.2974,2788.1194,CA3,Field CA3,Left,6213.543,6947.612,11593.019,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0115.swc,106090.516,7328.9463,2732.5032,2621.4014,CA3,Field CA3,Left,5811.227,7093.015,11643.093,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0119.swc,136216.34,7321.589,3351.8296,2753.714,fi,fimbria,Left,6356.583,6562.116,10623.919,root,root,Right,fi_Left,root_Right
AA0121.swc,109347.09,7067.117,3211.6875,2539.838,CP,Caudoputamen,Left,6266.0283,4763.263,10096.197,VISC5,"Visceral area, layer 5",Right,CP_Left,VISC5_Right
AA0122.swc,132567.03,7103.482,3096.6328,2536.5618,CP,Caudoputamen,Left,5656.5547,6155.5195,9494.281,PIR,Piriform area,Right,CP_Left,PIR_Right
AA0128.swc,120127,4766.8325,5395.394,7080.2593,CP,Caudoputamen,Right,4621.19,3016.3901,10186.341,root,root,Right,CP_Right,root_Right
AA0131.swc,58433.086,7530.773,2315.039,3970.026,DG-sg,"Dentate gyrus, granule cell layer",Left,5379.9565,6526.1133,13318.132,outside_brain,outside_brain,Right,DG-sg_Left,outside_brain_Right
AA0132.swc,74712.33,7326.7417,1957.6456,4254.8887,CA1,Field CA1,Left,6024.7983,6479.3438,9231.35,PIR,Piriform area,Right,CA1_Left,PIR_Right
AA0133.swc,102837.55,7414.166,2567.664,3677.4644,CA3,Field CA3,Left,5303.799,7408.2627,13542.017,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0134.swc,64696.098,7381.0996,2627.2349,3743.425,CA3,Field CA3,Left,4976.675,6570.304,13105.838,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0135.swc,49690.996,7512.275,2212.2476,3893.6636,DG-mo,"Dentate gyrus, molecular layer",Left,6210.262,6530.34,9132.953,PIR,Piriform area,Right,DG-mo_Left,PIR_Right
AA0152.swc,24024.395,5325.4,5841.8506,6116.9956,MPO,Medial preoptic area,Right,4801.551,3956.1758,10263.341,root,root,Right,MPO_Right,root_Right
AA0153.swc,18569.459,5498.472,5904.076,6333.912,MPO,Medial preoptic area,Right,5441.08,2889.2957,9986.518,SSp-n2/3,"Primary somatosensory area, nose, layer 2/3",Right,MPO_Right,SSp-n2/3_Right
AA0169.swc,60902.39,7419.4297,2366.5195,3873.1338,DG-sg,"Dentate gyrus, granule cell layer",Left,5829.205,7527.912,12141.73,outside_brain,outside_brain,Right,DG-sg_Left,outside_brain_Right
AA0174.swc,78667.53,4440.73,5260.947,6846.341,aco,"anterior commissure, olfactory limb",Right,5402.207,6286.818,12119.142,outside_brain,outside_brain,Right,aco_Right,outside_brain_Right
AA0175.swc,128474.84,4600.6934,5460.807,6685.27,aco,"anterior commissure, olfactory limb",Right,4661.8477,3741.2737,11143.994,root,root,Right,aco_Right,root_Right
AA0177.swc,60331.12,4433.1953,5346.746,6527.073,ACB,Nucleus accumbens,Right,5492.381,1383.0264,9964.662,root,root,Right,ACB_Right,root_Right
AA0179.swc,134066.23,6837.7656,2586.6833,3304.5063,CA3,Field CA3,Left,5812.1714,7250.7974,13846.502,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0180.swc,145829.67,6726.657,2540.018,3081.7632,VL,lateral ventricle,Left,5701.57,6913.994,13764.364,outside_brain,outside_brain,Right,VL_Left,outside_brain_Right
AA0181.swc,106164.93,7070.274,2370.5188,3219.5742,CA3,Field CA3,Left,5767.4775,6175.0063,10967.766,root,root,Right,CA3_Left,root_Right
AA0182.swc,133387.08,6998.4937,2219.1177,3436.857,CA2,Field CA2,Left,5878.7305,7204.6406,12448.344,outside_brain,outside_brain,Right,CA2_Left,outside_brain_Right
AA0204.swc,104307.484,4937.474,5220.871,7629.0273,CP,Caudoputamen,Right,6591.514,3415.1855,10106.209,SSs4,"Supplemental somatosensory area, layer 4",Right,CP_Right,SSs4_Right
AA0209.swc,22549.021,5078.379,5440.5854,7518.2817,CP,Caudoputamen,Right,5469.8193,5473.569,3998.4885,PAL,Pallidum,Left,CP_Right,PAL_Left
AA0210.swc,54865.703,5050.408,5294.4688,7599.2085,CP,Caudoputamen,Right,5520.689,7606.6216,12718.163,outside_brain,outside_brain,Right,CP_Right,outside_brain_Right
AA0211.swc,118943.12,5225.176,5218.9023,7718.3564,CP,Caudoputamen,Right,5108.469,7359.5474,11732.856,outside_brain,outside_brain,Right,CP_Right,outside_brain_Right
AA0212.swc,68623.305,5129.9893,5656.2314,7438.9043,CP,Caudoputamen,Right,4917.969,2409.6116,9965.45,root,root,Right,CP_Right,root_Right
AA0213.swc,40209.195,5325.8105,5278.328,7543.559,CP,Caudoputamen,Right,5571.176,5898.3984,3967.3623,SI,Substantia innominata,Left,CP_Right,SI_Left
AA0215.swc,101813.83,4433.8076,5369.1543,7688.7495,CP,Caudoputamen,Right,7273.178,5870.2207,11623.765,outside_brain,outside_brain,Right,CP_Right,outside_brain_Right
AA0216.swc,100987.24,4711.8867,5342.451,7440.94,CP,Caudoputamen,Right,5644.676,1773.3765,10297.364,root,root,Right,CP_Right,root_Right
AA0218.swc,45364.652,4381.6904,5458.4326,7691.324,CP,Caudoputamen,Right,3936.7322,2205.742,9322.301,root,root,Right,CP_Right,root_Right
AA0220.swc,125588.18,5274.327,5217.6206,7421.429,CP,Caudoputamen,Right,4501.476,1741.8809,10037.512,root,root,Right,CP_Right,root_Right
AA0221.swc,94513.555,4823.398,5146.2495,7358.6553,CP,Caudoputamen,Right,7370.4766,2079.2646,9543.724,SSs5,"Supplemental somatosensory area, layer 5",Right,CP_Right,SSs5_Right
AA0245.swc,214687.22,6852.341,2079.8777,3438.5332,CA2,Field CA2,Left,4463.2275,5208.5483,10495.488,root,root,Right,CA2_Left,root_Right
AA0250.swc,178562.66,7109.2275,2360.1511,3242.6553,CA3,Field CA3,Left,5249.58,6688.164,13314.565,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0261.swc,153332.6,6924.851,2000.6548,3592.6648,CA1,Field CA1,Left,5248.6055,5579.199,10514.24,root,root,Right,CA1_Left,root_Right
AA0415.swc,51704.58,6890.8813,2403.7778,2743.9292,or,optic radiation,Left,5743.5854,6576.1147,9271.111,PIR,Piriform area,Right,or_Left,PIR_Right
AA0433.swc,48206.645,5808.426,2202.754,10235.389,root,root,Right,5409.539,7257.5117,10480.85,root,root,Right,root_Right,root_Right
AA0435.swc,43777.39,4671.3584,5218.223,5528.7417,MS,Medial septal nucleus,Left,4468.8438,3723.2498,9757.399,SSs2/3,"Supplemental somatosensory area, layer 2/3",Right,MS_Left,SSs2/3_Right
AA0438.swc,28061.332,4707.7046,5445.6255,5725.822,MS,Medial septal nucleus,Right,5115.7134,4955.971,8632.378,CP,Caudoputamen,Right,MS_Right,CP_Right
AA0443.swc,106956.74,4592.707,5381.254,6811.577,aco,"anterior commissure, olfactory limb",Right,5541.041,1631.283,10093.975,root,root,Right,aco_Right,root_Right
AA0449.swc,116027.65,4868.3906,5331.8555,7159.661,CP,Caudoputamen,Right,5517.0234,6339.3867,11411.433,outside_brain,outside_brain,Right,CP_Right,outside_brain_Right
AA0456.swc,142321.98,6768.2344,2982.5234,3410.1094,fi,fimbria,Left,6517.329,3741.372,11661.15,outside_brain,outside_brain,Right,fi_Left,outside_brain_Right
AA0457.swc,53051.09,6804.535,2869.8125,3358.3584,fi,fimbria,Left,7606.227,4471.289,8830.029,fi,fimbria,Right,fi_Left,fi_Right
AA0469.swc,58502.793,6844.4185,1942.4779,2459.938,SSp-bfd5,"Primary somatosensory area, barrel field, layer 5",Left,7580.6504,4771.782,9124.554,CP,Caudoputamen,Right,SSp-bfd5_Left,CP_Right
AA0510.swc,97986.65,5206.799,4944.868,10054.761,GU2/3,"Gustatory areas, layer 2/3",Right,6367.1016,3385.6362,6479.035,AD,Anterodorsal nucleus,Right,GU2/3_Right,AD_Right
AA0514.swc,173620.58,5471.305,4153.906,9784.4375,SSs5,"Supplemental somatosensory area, layer 5",Right,7311.1875,4267.8105,6670.7246,PO,Posterior complex of the thalamus,Right,SSs5_Right,PO_Right
AA0537.swc,66139.97,4785.7695,5916.6978,6708.4575,HY,Hypothalamus,Right,3950.4258,5929.1445,11877.549,outside_brain,outside_brain,Right,HY_Right,outside_brain_Right
AA0542.swc,62728.336,4501.6567,6287.5576,7023.2925,ACB,Nucleus accumbens,Right,5220.477,2289.186,10650.357,root,root,Right,ACB_Right,root_Right
AA0576.swc,155648.12,6638.331,2342.2847,3333.9954,VL,lateral ventricle,Left,4733.0703,7352.554,13235.493,outside_brain,outside_brain,Right,VL_Left,outside_brain_Right
AA0583.swc,159243.08,6508.2812,1414.9385,4569.9062,SSp-tr6a,"Primary somatosensory area, trunk, layer 6a",Left,6270.946,6491.5747,9675.098,root,root,Right,SSp-tr6a_Left,root_Right
AA0584.swc,114885.445,7014.5234,1875.459,4577.418,CA1,Field CA1,Left,5025.588,7024.978,13632.414,outside_brain,outside_brain,Right,CA1_Left,outside_brain_Right
AA0587.swc,157368.58,6948.9062,1561.1074,4325.1934,CA1,Field CA1,Left,4462.6953,6033.9443,13526.27,outside_brain,outside_brain,Right,CA1_Left,outside_brain_Right
AA0609.swc,74520.34,4546.214,5861.9224,6910.6636,ACB,Nucleus accumbens,Right,5658.547,6402.333,13334.58,outside_brain,outside_brain,Right,ACB_Right,outside_brain_Right
AA0617.swc,88633.67,7295.078,1750.2324,4474.9727,CA1,Field CA1,Left,6393.422,6868.13,9296.348,PIR,Piriform area,Right,CA1_Left,PIR_Right
AA0726.swc,132841.78,6663.8125,2087.454,3721.0645,CA3,Field CA3,Left,5441.1196,5483.5527,11822.968,outside_brain,outside_brain,Right,CA3_Left,outside_brain_Right
AA0747.swc,72817.234,6881.578,2571.6748,3016.8047,VL,lateral ventricle,Left,8538.064,7303.5864,7214.34,root,root,Right,VL_Left,root_Right
AA0751.swc,60415.324,7673.6606,3524.037,8802.598,CA3,Field CA3,Right,6561.2974,6639.213,10551.558,root,root,Right,CA3_Right,root_Right
AA0752.swc,169408.06,7587.7007,4259.812,8335.47,LGv,Ventral part of the lateral geniculate complex,Right,6070.492,1225.875,10784.223,root,root,Right,LGv_Right,root_Right
AA0760.swc,78255.54,4563.081,5733.26,6685.2056,ACB,Nucleus accumbens,Right,7424.4297,2882.9102,9025.172,alv,alveus,Right,ACB_Right,alv_Right
AA0761.swc,121462.805,4485.285,5859.608,6594.066,ACB,Nucleus accumbens,Right,4528.164,6295.752,12766.277,outside_brain,outside_brain,Right,ACB_Right,outside_brain_Right
AA0762.swc,147234.27,7646.0303,4091.3293,8425.232,LGv,Ventral part of the lateral geniculate complex,Right,6241.9375,1234.1465,10908.479,root,root,Right,LGv_Right,root_Right
AA0764.swc,190256,6150.5625,1777.9316,4023.289,SSp-ll6a,"Primary somatosensory area, lower limb, layer 6a",Left,5764.5654,6886.308,10164.619,root,root,Right,SSp-ll6a_Left,root_Right
AA0772.swc,174114.64,7252.521,2307.0166,3081.9568,CA1,Field CA1,Left,5669.2886,7129.6567,11067.666,root,root,Right,CA1_Left,root_Right
AA0779.swc,90839.91,4593.1016,6163.759,6764.4004,ACB,Nucleus accumbens,Right,6609.0874,4483.546,10709.298,VISC1,"Visceral area, layer 1",Right,ACB_Right,VISC1_Right
AA0780.swc,167578.06,6813.508,2689.0586,2594.5254,or,optic radiation,Left,5604.773,4970.6753,10973.908,root,root,Right,or_Left,root_Right
AA0788.swc,199946.61,6664.1,2013.519,3179.3582,SSp-bfd6b,"Primary somatosensory area, barrel field, layer 6b",Left,5543.476,6993.063,13299.672,outside_brain,outside_brain,Right,SSp-bfd6b_Left,outside_brain_Right
AA0791.swc,175345.05,6403.715,1582.7625,4547.374,SSp-ll6b,"Primary somatosensory area, lower limb, layer 6b",Left,3848.0237,6720.242,11608.307,outside_brain,outside_brain,Right,SSp-ll6b_Left,outside_brain_Right
AA0792.swc,149503.4,6184.2314,1546.9315,4625.6343,MOp6a,"Primary motor area, Layer 6a",Left,5623.211,5071.2344,10867.107,root,root,Right,MOp6a_Left,root_Right
AA0794.swc,139444.19,6255.8193,1268.1112,4786.719,MOp6a,"Primary motor area, Layer 6a",Left,6463.888,6479.034,8944.402,EPv,"Endopiriform nucleus, ventral part",Right,MOp6a_Left,EPv_Right
AA0796.swc,171821.75,6119.137,2353.2634,4698.2446,CA3,Field CA3,Left,5340.385,4567.5986,11045.584,root,root,Right,CA3_Left,root_Right
AA0830.swc,86491.47,7972.5347,2006.5696,8584.963,CA1,Field CA1,Right,4509.1484,5979.948,3664.2695,ACB,Nucleus accumbens,Left,CA1_Right,ACB_Left
AA0917.swc,40307.836,4754.3984,6164.475,7027.41,ACB,Nucleus accumbens,Right,5520.461,5785.713,12959.809,outside_brain,outside_brain,Right,ACB_Right,outside_brain_Right
AA0919.swc,68315.805,9761.907,2120.6323,7886.988,APr,Area prostriata,Right,7096.5312,5243.3486,5374.1074,PR,Perireunensis nucleus,Left,APr_Right,PR_Left
AA0923.swc,137759.06,6915.873,1385.467,5679.2593,RSPv1,"Retrosplenial area, ventral part, layer 1",Left,5894.086,8407.895,14513.281,outside_brain,outside_brain,Right,RSPv1_Left,outside_brain_Right
AA0926.swc,122644.14,7125.8867,1760.5713,4745.632,CA1,Field CA1,Left,6430.4062,6731.4873,9054.977,PIR,Piriform area,Right,CA1_Left,PIR_Right
AA0927.swc,127135.48,7181.75,1901.0048,4419.3184,CA1,Field CA1,Left,6545.328,6699.0537,9042.936,PIR,Piriform area,Right,CA1_Left,PIR_Right
AA0929.swc,40379.953,6447.675,4329.748,3080.107,GPe,"Globus pallidus, external segment",Left,5721.107,6218.82,9162.009,PIR,Piriform area,Right,GPe_Left,PIR_Right
AA0931.swc,29595.865,6564.468,5458.365,7725.983,GPi,"Globus pallidus, internal segment",Right,3603.8506,5080.0757,8654.926,AIv2/3,"Agranular insular area, ventral part, layer 2/3",Right,GPi_Right,AIv2/3_Right
